index,code,name,market,count
JPX-Nikkei 400,4901,富士フイルムホールディングス,プライム,9
JPX-Nikkei 400,4912,ライオン,プライム,9
JPX-Nikkei 400,4967,小林製薬,プライム,13
JPX-Nikkei 400,4980,デクセリアルズ,プライム,4
JPX-Nikkei 400,5019,出光興産,プライム,10
JPX-Nikkei 400,5020,ＥＮＥＯＳホールディングス,プライム,10
JPX-Nikkei 400,5021,コスモエネルギーホールディングス,プライム,8
JPX-Nikkei 400,5032,ＡＮＹＣＯＬＯＲ,プライム,1
JPX-Nikkei 400,5076,インフロニア・ホールディングス,プライム,5
JPX-Nikkei 400,5101,横浜ゴム,プライム,13
JPX-Nikkei 400,5105,ＴＯＹＯ　ＴＩＲＥ,プライム,11
JPX-Nikkei 400,5108,ブリヂストン,プライム,13
JPX-Nikkei 400,5332,ＴＯＴＯ,プライム,13
JPX-Nikkei 400,5333,日本碍子,プライム,11
JPX-Nikkei 400,5334,日本特殊陶業,プライム,13
JPX-Nikkei 400,5344,ＭＡＲＵＷＡ,プライム,4
JPX-Nikkei 400,5393,ニチアス,プライム,10
JPX-Nikkei 400,5401,日本製鉄,プライム,12
JPX-Nikkei 400,5406,神戸製鋼所,プライム,4
JPX-Nikkei 400,5411,ＪＦＥホールディングス,プライム,12
JPX-Nikkei 400,5423,東京製鐵,プライム,6
JPX-Nikkei 400,5444,大和工業,プライム,2
JPX-Nikkei 400,5471,大同特殊鋼,プライム,4
JPX-Nikkei 400,5480,日本冶金工業,プライム,3
JPX-Nikkei 400,5706,三井金属鉱業,プライム,8
JPX-Nikkei 400,5713,住友金属鉱山,プライム,13
JPX-Nikkei 400,5714,ＤＯＷＡホールディングス,プライム,11
JPX-Nikkei 400,5802,住友電気工業,プライム,13
JPX-Nikkei 400,5803,フジクラ,プライム,2
JPX-Nikkei 400,5805,ＳＷＣＣ,プライム,1
JPX-Nikkei 400,5857,ＡＲＥホールディングス,プライム,9
JPX-Nikkei 400,5929,三和ホールディングス,プライム,11
JPX-Nikkei 400,5947,リンナイ,プライム,13
JPX-Nikkei 400,5991,日本発條,プライム,8
JPX-Nikkei 400,6005,三浦工業,プライム,6
JPX-Nikkei 400,6028,テクノプロ・ホールディングス,プライム,8
JPX-Nikkei 400,6098,リクルートホールディングス,プライム,8
JPX-Nikkei 400,6101,ツガミ,プライム,2
JPX-Nikkei 400,6113,アマダ,プライム,9
JPX-Nikkei 400,6141,ＤＭＧ森精機,プライム,10
JPX-Nikkei 400,6146,ディスコ,プライム,13
JPX-Nikkei 400,6201,豊田自動織機,プライム,13
JPX-Nikkei 400,6254,野村マイクロ・サイエンス,プライム,2
JPX-Nikkei 400,6269,三井海洋開発,プライム,3
JPX-Nikkei 400,6273,ＳＭＣ,プライム,13
JPX-Nikkei 400,6301,小松製作所,プライム,13
JPX-Nikkei 400,6305,日立建機,プライム,13
JPX-Nikkei 400,6323,ローツェ,プライム,4
JPX-Nikkei 400,6326,クボタ,プライム,13
JPX-Nikkei 400,6361,荏原製作所,プライム,11
JPX-Nikkei 400,6367,ダイキン工業,プライム,13
JPX-Nikkei 400,6368,オルガノ,プライム,3
JPX-Nikkei 400,6383,ダイフク,プライム,10
JPX-Nikkei 400,6417,ＳＡＮＫＹＯ,プライム,5
JPX-Nikkei 400,6432,竹内製作所,プライム,10
JPX-Nikkei 400,6436,アマノ,プライム,1
JPX-Nikkei 400,6448,ブラザー工業,プライム,13
JPX-Nikkei 400,6460,セガサミーホールディングス,プライム,6
