項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
利息返還損失引当金、固定負債,158,Prior1YearInstant,連結,時点,円
短期貸付けによる支出、投資活動によるキャッシュ・フロー,157,Prior1YTDDuration,連結,期間,円
販売用不動産の増減額（△は増加）、営業活動によるキャッシュ・フロー,156,Prior1YearDuration,連結,期間,円
その他の金融負債、負債（IFRS）,156,Prior1YearInstant,その他,時点,円
長期前払費用の増減額（△は増加）、営業活動によるキャッシュ・フロー,156,CurrentYTDDuration_NonConsolidatedMember,個別,期間,円
不動産賃貸収入、営業活動による収益,156,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の金融資産、資産（IFRS）,156,Prior1YearInstant,その他,時点,円
注記事項－社債及び借入金、要約四半期連結財務諸表（IFRS） [テキストブロック],155,CurrentYTDDuration,その他,期間,－
有形固定資産売却損益（△は益）、営業活動によるキャッシュ・フロー（IFRS）,155,Prior1YTDDuration,その他,期間,円
雑給、販売費及び一般管理費,155,Prior1YTDDuration,連結,期間,円
普通社債発行及び償還による増減（△）、営業活動によるキャッシュ・フロー、銀行業,155,Prior1InterimDuration,連結,期間,円
注記事項－財務活動から生じた負債の変動、連結財務諸表（IFRS） [テキストブロック],154,CurrentYearDuration,その他,期間,－
製品期末棚卸高、売上原価,154,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
資産の部の社債に係る保証債務に関する注記 [テキストブロック],154,InterimInstant,その他,時点,－
投資不動産（純額）,154,Prior1YearInstant,連結,時点,円
注記事項－その他の収益、連結財務諸表（IFRS） [テキストブロック],154,CurrentYearDuration,その他,期間,－
製品期首棚卸高、売上原価,154,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
退職給付費用、販売費,154,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－その他の費用、要約四半期連結財務諸表（IFRS） [テキストブロック],153,CurrentYTDDuration,その他,期間,－
リース債権及びリース投資資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,152,Prior1YTDDuration,連結,期間,円
雑収入、営業外収益、鉄道事業,152,Prior1YTDDuration,連結,期間,円
災害による損失、営業活動によるキャッシュ・フロー,152,Prior1YearDuration,連結,期間,円
その他の包括利益を通じて公正価値で測定するものとして指定した資本性金融商品の公正価値の純変動額（税引前）、純損益に振り替えられることのないその他の包括利益（IFRS）,152,Prior1YearDuration,その他,期間,円
店舗閉鎖損失引当金,152,Prior1YearInstant,連結,時点,円
物品売却益、営業外収益,151,Prior1YTDDuration,連結,期間,円
金銭の信託、流動資産,151,Prior1YearInstant,連結,時点,円
退職給付関係、財務諸表 [テキストブロック],151,CurrentYearDuration,その他,期間,－
脚注（保有目的が純投資目的以外の目的である特定投資株式）、最大保有会社 [テキストブロック],151,CurrentYearInstant_Row1Member,その他,時点,－
事務所移転費用、営業外費用,151,Prior1YearDuration,連結,期間,円
合計、製品期首棚卸高及び当期製品製造原価,150,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
商品、流動資産（IFRS）,150,Prior1YearInstant,その他,時点,円
法人所得税、純損益に振り替えられることのないその他の包括利益（IFRS）,150,Prior1YTDDuration,その他,期間,円
投資損失引当金、資産の部、銀行業,150,Prior1YearInstant,連結,時点,円
所有株式数（普通株式以外）、役員の状況（執行役）,150,FilingDateInstant_jpcrp030000-asr_E04762-000InoueMakotoMember,その他,時点,
預金残高、経営指標等,150,Prior2InterimInstant_NonConsolidatedMember,その他,時点,円
貸倒引当金繰入額（IFRS）,149,Prior1YTDDuration,その他,期間,円
固定資産売却益、営業外収益,149,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
保有目的、保有目的が純投資目的以外の目的であるみなし保有株式の明細、提出会社,149,CurrentYearInstant_Row1Member,その他,時点,－
従業員給付、流動負債（IFRS）,149,Prior1YearInstant,その他,時点,円
賃貸資産、合計、有形固定資産、リース事業,148,Prior1YearInstant,連結,時点,円
訴訟関連費用、営業外費用,148,Prior1YTDDuration,連結,期間,円
合計、商品期首棚卸高及び当期商品仕入高,148,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
抱合せ株式消滅差損、特別損失,148,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
債務保証損失引当金戻入額、特別利益,148,Prior1YTDDuration,連結,期間,円
投資その他の資産（総額）,147,Prior1YearInstant,連結,時点,円
資本性金融商品の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,147,Prior1YTDDuration,その他,期間,円
短期貸付金の回収による収入、投資活動によるキャッシュ・フロー,147,Prior1YTDDuration,連結,期間,円
減価償却累計額及び減損損失累計額、工具、器具及び備品,147,Prior1YearInstant,連結,時点,円
固定化営業債権,146,Prior1YearInstant,連結,時点,円
訴訟損失引当金、流動負債,146,Prior1YearInstant,連結,時点,円
その他運用費用、経常費用、保険業,146,Prior1InterimDuration,連結,期間,円
寄付金、販売費及び一般管理費,146,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の受入利息、経常収益、銀行業,145,Prior1YearDuration,連結,期間,円
銘柄数、非上場株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,145,CurrentYearInstant,その他,時点,
貸借対照表計上額、非上場株式以外の株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,145,CurrentYearInstant,その他,時点,円
銘柄数、非上場株式以外の株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,145,CurrentYearInstant,その他,時点,
貸借対照表計上額、非上場株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,145,CurrentYearInstant,その他,時点,円
注記事項－その他の費用、連結財務諸表（IFRS） [テキストブロック],145,CurrentYearDuration,その他,期間,－
その他の支払利息、経常費用、銀行業,145,Prior1YearDuration,連結,期間,円
償却債権取立益、経常収益、銀行業,145,Prior1YearDuration,連結,期間,円
売現先利息、経常費用、銀行業,145,Prior1YearDuration,連結,期間,円
譲渡性預金利息、経常費用、銀行業,145,Prior1YearDuration,連結,期間,円
匿名組合投資利益、営業外収益,145,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
有価証券償還益、経常収益、保険業,144,Prior1InterimDuration,連結,期間,円
注記事項－減損損失、要約四半期連結財務諸表（IFRS） [テキストブロック],144,CurrentYTDDuration,その他,期間,－
その他の包括利益を通じて公正価値で測定するものとして指定した資本性金融商品、受取配当金（IFRS）,144,Prior1YearDuration,その他,期間,円
新株予約権の失効,144,Prior1YearDuration_ShareholdersEquityMember,連結,期間,円
製品売上原価,144,Prior1YTDDuration,連結,期間,円
子会社株式売却損、特別損失,144,Prior1YTDDuration,連結,期間,円
投資有価証券売却損、営業外費用,144,Prior1YTDDuration,連結,期間,円
事務用品費、販売費及び一般管理費,144,Prior1YTDDuration,連結,期間,円
純損益を通じて公正価値で測定する金融資産、有価証券関連利益（IFRS）,144,Prior1YearDuration,その他,期間,円
特別退職金の支払額、営業活動によるキャッシュ・フロー,144,Prior1YTDDuration,連結,期間,円
債券貸借取引支払保証金の純増（△）減、営業活動によるキャッシュ・フロー、銀行業,144,Prior1InterimDuration,連結,期間,円
子会社株式売却益（IFRS）,143,Prior1YearDuration,その他,期間,円
未払法人所得税、負債（IFRS）,143,Prior1YearInstant,その他,時点,円
破産更生債権等の増減額（△は増加）、営業活動によるキャッシュ・フロー,143,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
持分法損益等、四半期財務諸表 [テキストブロック],143,CurrentYTDDuration,その他,期間,－
半製品,143,Prior1YearInstant,連結,時点,円
有価証券の売却による収入、投資活動によるキャッシュ・フロー,143,Prior1YTDDuration,連結,期間,円
社債発行費、営業活動によるキャッシュ・フロー,143,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の営業貸付債権、流動資産、リース事業,142,Prior1YearInstant,連結,時点,円
負ののれん償却額、営業活動によるキャッシュ・フロー,142,Prior1YearDuration,連結,期間,円
営業貸付金、流動資産、リース事業,142,Prior1YearInstant,連結,時点,円
試験研究費、販売費及び一般管理費,142,Prior1YTDDuration,連結,期間,円
固定資産売却損（IFRS）,142,Prior1YearDuration,その他,期間,円
建設仮勘定、固定資産仮勘定、電気事業,142,Prior1YearInstant,連結,時点,円
借入金の返済による支出、財務活動によるキャッシュ・フロー,142,Prior1YTDDuration,連結,期間,円
新株予約権付社債、固定負債,141,Prior1YearInstant,連結,時点,円
企業統治の組織形態（３分類）の変更 [テキストブロック],141,FilingDateInstant,その他,時点,－
匿名組合投資損失、営業外費用,141,Prior1YTDDuration,連結,期間,円
固定資産廃棄損、営業活動によるキャッシュ・フロー,140,Prior1YTDDuration,連結,期間,円
利息返還損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,140,Prior1YTDDuration,連結,期間,円
原材料及び消耗品消費高（IFRS）,140,Prior1YTDDuration,その他,期間,円
有価証券及び投資有価証券の売却による収入、投資活動によるキャッシュ・フロー,140,Prior1YTDDuration,連結,期間,円
１株当たり第４四半期配当額、経営指標等,140,Prior2InterimDuration_NonConsolidatedMember,その他,期間,
受注工事損失引当金、流動負債,140,Prior1YearInstant,連結,時点,円
その他負債（除く投資活動関連、財務活動関連）の増減額（△は減少）、営業活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
その他、営業活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
資産運用活動計、投資活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
有価証券関係損益（△は益）、営業活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
営業活動及び資産運用活動計、投資活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
有価証券売却損益（△は益）、営業活動によるキャッシュ・フロー,140,Prior1YTDDuration,連結,期間,円
事業構造改善費用、営業活動によるキャッシュ・フロー,140,Prior1YTDDuration,連結,期間,円
通信交通費、販売費及び一般管理費,140,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
連結キャッシュ・フロー計算書における資金の範囲 [テキストブロック],140,CurrentYearDuration,その他,期間,－
資産圧縮積立金の取崩,140,Prior1YearDuration_NonConsolidatedMember_ReserveForReductionEntryOfAssetsMember,個別,期間,円
原子力発電施設解体費、営業活動によるキャッシュ・フロー、電気事業,140,Prior1YTDDuration,連結,期間,円
有価証券の売却・償還による収入、投資活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
その他資産（除く投資活動関連、財務活動関連）の増減額（△は増加）、営業活動によるキャッシュ・フロー、保険業,140,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
建物、減価償却累計額及び減損損失累計額（IFRS）,139,Prior1YearInstant,その他,時点,円
営業収入、経営指標等,139,Prior1YTDDuration,その他,期間,円
減損損失累計額の表示に関する注記 [テキストブロック],138,CurrentYearInstant,その他,時点,－
事業費、保険業,138,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
商品期末棚卸高、売上原価,138,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
連結子会社株式の売却による持分の増減,138,CurrentYearDuration_CapitalSurplusMember,連結,期間,円
注記事項－収益、連結財務諸表（IFRS） [テキストブロック],138,CurrentYearDuration,その他,期間,－
関係会社社債,138,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
重要な引当金の計上基準 [テキストブロック],138,CurrentYearDuration,その他,期間,－
買入金銭債権の売却・償還による収入、投資活動によるキャッシュ・フロー、保険業,138,Prior1InterimDuration,連結,期間,円
注記事項－退職給付、連結財務諸表（IFRS） [テキストブロック],137,CurrentYearDuration,その他,期間,－
確定給付負債、非流動負債（IFRS）,137,Prior1YearInstant,その他,時点,円
上場関連費用の支出、財務活動によるキャッシュ・フロー,137,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
機械、運搬具及び工具器具備品,137,Prior1YearInstant,連結,時点,円
指標を公表した会社、提出会社の指標,137,CurrentYearInstant_NonConsolidatedMember,その他,時点,－
債券貸借取引支払利息、経常費用、銀行業,137,Prior1YearDuration,連結,期間,円
支払承諾見返、資産の部、保険業,136,Prior1YearInstant,連結,時点,円
子会社株式評価損、特別損失,136,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
契約者配当準備金、負債の部、保険業,136,Prior1YearInstant,連結,時点,円
使用権資産、取得原価（IFRS）,136,Prior1YearInstant,その他,時点,円
支払承諾、負債の部、保険業,136,Prior1YearInstant,連結,時点,円
租税公課、営業外費用,136,Prior1YTDDuration,連結,期間,円
ソフトウエア仮勘定（IFRS）,136,Prior1YearInstant,その他,時点,円
１株当たり第３四半期配当額、経営指標等,135,Prior2InterimDuration_NonConsolidatedMember,その他,期間,
差入保証金の増減額（△は増加）、営業活動によるキャッシュ・フロー,135,Prior1YTDDuration,連結,期間,円
１株当たり第１四半期配当額、経営指標等,135,Prior2InterimDuration_NonConsolidatedMember,その他,期間,
保険解約返戻金、特別利益,135,Prior1YTDDuration,連結,期間,円
ソフトウエア仮勘定、減損損失累計額（IFRS）,135,Prior1YearInstant,その他,時点,円
１株当たり第２四半期配当額、経営指標等,135,Prior2InterimDuration_NonConsolidatedMember,その他,期間,
会計上の見積りの変更、連結財務諸表 [テキストブロック],135,CurrentYearDuration,その他,期間,－
受取手形及び営業未収入金、流動資産,134,Prior1YearInstant,連結,時点,円
固定資産受贈益、営業活動によるキャッシュ・フロー,134,Prior1YTDDuration,連結,期間,円
関連会社の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,134,Prior1YTDDuration,その他,期間,円
ソフトウエア仮勘定、取得原価（IFRS）,134,Prior1YearInstant,その他,時点,円
正味支払保険金、経常費用、保険業,134,Prior1InterimDuration,連結,期間,円
保険引受費用、経常費用、保険業,134,Prior1InterimDuration,連結,期間,円
災害損失引当金、固定負債,134,Prior1YearInstant,連結,時点,円
商品期首棚卸高、売上原価,134,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
積立保険料等運用益、経常収益、保険業,134,Prior1InterimDuration,連結,期間,円
諸手数料及び集金費、経常費用、保険業,134,Prior1InterimDuration,連結,期間,円
損害調査費、経常費用、保険業,134,Prior1InterimDuration,連結,期間,円
営業費及び一般管理費、経常費用、保険業,134,Prior1InterimDuration,連結,期間,円
保険引受収益、経常収益、保険業,134,Prior1InterimDuration,連結,期間,円
正味収入保険料、経常収益、保険業,134,Prior1InterimDuration,連結,期間,円
資本性金融商品の売却による収入、投資活動によるキャッシュ・フロー（IFRS）,133,Prior1YTDDuration,その他,期間,円
関連会社株式売却益（IFRS）,133,Prior1YTDDuration,その他,期間,円
鉄道施設購入長期未払金、固定負債、鉄道事業,132,Prior1YearInstant,連結,時点,円
再保険借、負債の部、保険業,132,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
製品、流動資産（IFRS）,132,Prior1YearInstant,その他,時点,円
開発事業等売上原価、建設業,132,Prior1YTDDuration,連結,期間,円
開発事業等総利益又は開発事業等総損失（△）、建設業,132,Prior1YTDDuration,連結,期間,円
貸借対照表計上額、保有目的が純投資目的以外の目的であるみなし保有株式の明細、投資株式計上額が次に大きい会社,132,CurrentYearInstant_Row1Member,その他,時点,円
金銭の信託運用損、経常費用、保険業,132,Prior1InterimDuration,連結,期間,円
鉄道・運輸機構長期未払金、固定負債、鉄道事業,132,Prior1YearInstant,連結,時点,円
店舗閉鎖損失引当金繰入額、特別損失,132,Prior1YearDuration,連結,期間,円
開発事業等売上高、建設業,132,Prior1YTDDuration,連結,期間,円
給付金、経常費用、保険業,132,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
保険金等支払金、経常費用、保険業,132,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
保険金、経常費用、保険業,132,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
その他の支出、財務活動によるキャッシュ・フロー,132,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
再保険貸、資産の部、保険業,132,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
保険料等収入、経常収益、保険業,132,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
事業構造改善引当金、固定負債,132,Prior1YearInstant,連結,時点,円
スコープ1、2及び3の温室効果ガス総排出量,132,Prior3YearDuration,その他,期間,
株式数、保有目的が純投資目的以外の目的であるみなし保有株式の明細、投資株式計上額が次に大きい会社,132,CurrentYearInstant_Row1Member,その他,時点,
業務提携等の概要、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,131,CurrentYearInstant_Row1Member,その他,時点,－
保険料、販売費及び一般管理費,131,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
買入金銭債権の取得による支出、投資活動によるキャッシュ・フロー、保険業,130,Prior1InterimDuration,連結,期間,円
有形及び無形固定資産売却損益（△は益）、営業活動によるキャッシュ・フロー,130,Prior1YTDDuration,連結,期間,円
減価償却費、一般管理費,130,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
重要な減価償却資産の減価償却の方法 [テキストブロック],130,CurrentYearDuration,その他,期間,－
注記事項－借入金、連結財務諸表（IFRS） [テキストブロック],130,CurrentYearDuration,その他,期間,－
その他、売上原価（IFRS）,130,Prior1YearDuration,その他,期間,円
新株予約権の行使による収入、財務活動によるキャッシュ・フロー（IFRS）,130,Prior1YTDDuration,その他,期間,円
預け金（日銀預け金を除く）の純増（△）減、営業活動によるキャッシュ・フロー、銀行業,130,Prior1InterimDuration,連結,期間,円
その他運用収益、経常収益、保険業,130,Prior1InterimDuration,連結,期間,円
開業費、繰延資産,129,Prior1YearInstant,連結,時点,円
建物（IFRS）,129,Prior1YearInstant,その他,時点,円
商品売上原価,128,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
１年内回収予定の長期貸付金,128,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
デリバティブ債権、流動資産,128,Prior1YearInstant,連結,時点,円
金融商品、繰延税金資産、確定給付資産の純額、保険契約から生じる権利を除く非流動資産への追加額（IFRS）,128,Prior1YearInstant_jpcrp030000-asr_E38728-000ConstructionSolutionReportableSegmentMember,その他,時点,円
受取保証料、営業外収益,128,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他、棚卸資産、流動資産（IFRS）,128,Prior1YearInstant,その他,時点,円
睡眠預金払戻損失引当金の増減（△）、営業活動によるキャッシュ・フロー、銀行業,128,Prior1InterimDuration,連結,期間,円
ポイント引当金、固定負債,128,Prior1YearInstant,連結,時点,円
貸倒引当金繰入額、経常費用、保険業,128,Prior1InterimDuration,連結,期間,円
受取賃貸料（IFRS）,127,CurrentYearDuration,その他,期間,円
純損益を通じて公正価値で測定する金融資産、受取利息（IFRS）,127,Prior1YearDuration,その他,期間,円
その他、営業活動による費用・売上原価,126,CurrentYTDDuration,連結,期間,円
新株式申込証拠金,126,Prior1YearInstant,連結,時点,円
金銭の信託運用益、営業外収益,126,Prior1YTDDuration,連結,期間,円
事業譲渡損、特別損失,126,Prior1YearDuration,連結,期間,円
使用権資産、減価償却累計額及び減損損失累計額（IFRS）,126,Prior1YearInstant,その他,時点,円
棚卸資産及び工事損失引当金の表示に関する注記 [テキストブロック],125,CurrentYearInstant,その他,時点,－
銀行業における手形割引に関する注記、銀行業 [テキストブロック],125,InterimInstant,その他,時点,－
訴訟損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,124,Prior1YTDDuration,連結,期間,円
未収金、流動資産、鉄道事業,124,Prior1YearInstant,連結,時点,円
休止固定資産減価償却費、営業外費用,124,Prior1YTDDuration,連結,期間,円
有価証券、流動資産（IFRS）,124,CurrentQuarterInstant,その他,時点,円
四半期連結累計期間、四半期連結損益及び包括利益計算書 [テキストブロック],124,CurrentYTDDuration,その他,期間,－
その他の固定負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,124,Prior1YearDuration,連結,期間,円
株式数（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、投資株式計上額が次に大きい会社,123,CurrentYearInstant_Row21Member,その他,時点,－
貸借対照表計上額（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、投資株式計上額が次に大きい会社,123,CurrentYearInstant_Row21Member,その他,時点,－
返品調整引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,123,Prior1YTDDuration,連結,期間,円
米国会計基準により連結財務諸表を作成した場合の記載、経理の状況,123,CurrentYTDDuration,その他,期間,－
設備関係未払金,122,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
新株予約権の発行による収入、財務活動によるキャッシュ・フロー（IFRS）,122,Prior1YTDDuration,その他,期間,円
従業員給付費用、営業費用（IFRS）,122,Prior1YearDuration,その他,期間,円
他勘定振替高、売上原価,122,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
投資株式計上額が次に大きい会社（提出会社でない場合）の名称,122,CurrentYearInstant,その他,時点,－
関係会社事業損失引当金、流動負債,122,Prior1YearInstant,連結,時点,円
有価証券損益（△は益）、営業活動によるキャッシュ・フロー（IFRS）,122,Prior1YTDDuration,その他,期間,円
事業整理損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,121,Prior1YearDuration,連結,期間,円
重要な資産の評価基準及び評価方法 [テキストブロック],121,CurrentYearDuration,その他,期間,－
その他連結財務諸表作成のための基本となる重要な事項 [テキストブロック],121,CurrentYearDuration,その他,期間,－
割賦利益繰延、流動負債,120,Prior1YearInstant,連結,時点,円
積立保険料等運用益振替、経常収益、保険業,120,Prior1InterimDuration,連結,期間,円
自己株式に関する注記 [テキストブロック],120,Prior1YearDuration_NonConsolidatedMember,その他,期間,－
減価償却費、販売費及び一般管理費（IFRS）,119,Prior1YearDuration,その他,期間,円
子会社清算損益（△は益）、営業活動によるキャッシュ・フロー,119,Prior1YTDDuration,連結,期間,円
売掛金及び契約資産,118,Prior1YearInstant,連結,時点,円
預貯金の純増減額（△は増加）、投資活動によるキャッシュ・フロー、保険業,118,Prior1InterimDuration,連結,期間,円
経営指導料、営業活動による収益,118,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
環境対策費、特別損失,118,Prior1YTDDuration,連結,期間,円
配当準備積立金,118,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
退職給付費用、営業活動によるキャッシュ・フロー,118,Prior1YTDDuration,連結,期間,円
保険積立金の払戻による収入、投資活動によるキャッシュ・フロー,118,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他、財務活動によるキャッシュ・フロー、保険業,118,Prior1InterimDuration,連結,期間,円
デリバティブ評価損（IFRS）,118,Prior1YearDuration,その他,期間,円
注記事項－担保、連結財務諸表（IFRS） [テキストブロック],117,CurrentYearDuration,その他,期間,－
他の記載への参照,117,FilingDateInstant,その他,時点,－
経営管理料、営業活動による収益,117,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
新幹線鉄道大規模改修引当金、固定負債、鉄道事業,116,Prior1YearInstant,連結,時点,円
有形固定資産売却益（IFRS）,116,Prior1YearDuration,その他,期間,円
出資金評価損、特別損失,116,Prior1YTDDuration,連結,期間,円
株式交付費償却、営業外費用,116,Prior1YearDuration,連結,期間,円
子会社清算損、特別損失,116,Prior1YTDDuration,連結,期間,円
貸倒損失、販売費及び一般管理費,116,Prior1YTDDuration,連結,期間,円
債務免除益、特別利益,115,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
買現先利息、経常収益、銀行業,115,Prior1YearDuration,連結,期間,円
和解金の支払額、営業活動によるキャッシュ・フロー,115,Prior1YTDDuration,連結,期間,円
賞与引当金繰入額、販売費,115,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
借入金利息、営業活動による費用・売上原価,114,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
売買目的有価証券運用損、経常費用、保険業,114,Prior1InterimDuration,連結,期間,円
再評価に係る繰延税金資産,114,Prior1YearInstant,連結,時点,円
販売運賃、販売費及び一般管理費,114,Prior1YTDDuration,連結,期間,円
航空機（純額）,114,Prior1YearInstant,連結,時点,円
ソフトウエアの取得による支出、投資活動によるキャッシュ・フロー,114,Prior1YTDDuration,連結,期間,円
災害損失引当金繰入額、特別損失,114,Prior1YTDDuration,連結,期間,円
長期未払金の増減額（△は減少）、営業活動によるキャッシュ・フロー,114,Prior1YTDDuration,連結,期間,円
その他の棚卸資産の増減額（△は増加）、営業活動によるキャッシュ・フロー、建設業,114,Prior1YTDDuration,連結,期間,円
有形固定資産関係損益（△は益）、営業活動によるキャッシュ・フロー、保険業,114,Prior1InterimDuration,連結,期間,円
リース債権及びリース投資資産の純増（△）減、営業活動によるキャッシュ・フロー、銀行業,114,Prior1InterimDuration,連結,期間,円
不動産賃借料、販売費及び一般管理費,113,Prior1YTDDuration,連結,期間,円
租税公課、販売費及び一般管理費（IFRS）,113,Prior1YearDuration,その他,期間,円
割賦売掛金の増減額（△は増加）、営業活動によるキャッシュ・フロー,112,Prior1YearDuration,連結,期間,円
投資損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,112,Prior1InterimDuration,連結,期間,円
長期前受金,112,Prior1YearInstant,連結,時点,円
建設協力金,112,Prior1YearInstant,連結,時点,円
固定資産等処分損、特別損失、保険業、生命保険,112,Prior1InterimDuration,連結,期間,円
デリバティブ評価益（IFRS）,112,Prior1YearDuration,その他,期間,円
諸前受金、流動負債、電気事業,112,Prior1YearInstant,連結,時点,円
雑支出、営業外費用、鉄道事業,112,Prior1YTDDuration,連結,期間,円
１年内償還予定の新株予約権付社債,112,Prior1YearInstant,連結,時点,円
注記事項－非継続事業、要約四半期連結財務諸表（IFRS） [テキストブロック],111,CurrentYTDDuration,その他,期間,－
店舗閉鎖損失、営業活動によるキャッシュ・フロー,110,Prior1YTDDuration,連結,期間,円
建物及び附属設備、減価償却累計額及び減損損失累計額（IFRS）,110,Prior1YearInstant,その他,時点,円
特許権（IFRS）,110,Prior1YearInstant,その他,時点,円
関係会社預け金,110,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
動力用水光熱費、販売費及び一般管理費,110,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
債権売却損、営業外費用,110,Prior1YTDDuration,連結,期間,円
特許権、償却累計額及び減損損失累計額（IFRS）,110,Prior1YearInstant,その他,時点,円
建物及び附属設備、取得原価（IFRS）,110,Prior1YearInstant,その他,時点,円
建物及び附属設備（IFRS）,109,Prior1YearInstant,その他,時点,円
投資有価証券、非流動資産（IFRS）,109,Prior1YearInstant,その他,時点,円
注記事項－キャッシュ・フロー情報、要約四半期連結財務諸表（IFRS） [テキストブロック],109,CurrentYTDDuration,その他,期間,－
未着商品,109,Prior1YearInstant,連結,時点,円
銀行法及び金融機能の再生のための緊急措置に関する法律に基づく債権に関する注記、銀行業 [テキストブロック],109,CurrentYearInstant,その他,時点,－
前払金,108,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
器具及び備品（純額）、有形固定資産、海運業,108,Prior1YearInstant,連結,時点,円
特許権、取得原価（IFRS）,108,Prior1YearInstant,その他,時点,円
持分法適用に伴う負債、固定負債,108,Prior1YearInstant,連結,時点,円
買掛金及びその他の債務、流動負債（IFRS）,108,Prior1YearInstant,その他,時点,円
棚卸資産評価損、営業活動によるキャッシュ・フロー,108,Prior1YTDDuration,連結,期間,円
販売手数料（IFRS）,108,Prior1YTDDuration,その他,期間,円
減価償却累計額及び減損損失累計額、リース資産、有形固定資産,108,Prior1YearInstant,連結,時点,円
新エネルギー等発電設備、電気事業固定資産、電気事業,108,Prior1YearInstant,連結,時点,円
環境対策引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,108,Prior1YTDDuration,連結,期間,円
売掛金及びその他の債権、流動資産（IFRS）,108,Prior1YearInstant,その他,時点,円
基本的及び希薄化後１株当たり当期利益（△損失）（IFRS）,108,Prior1YTDDuration,その他,期間,
社債及び借入金、負債（IFRS）,107,Prior1YearInstant,その他,時点,円
脚注（執行役）（議案） [テキストブロック],107,FilingDateInstant_Row1Member,その他,時点,－
