日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250731,倉敷紡績,3106,繊維製品,0.0130%,TOPIX Small 2
20250731,ダイワボウホールディングス,3107,卸売業,0.0312%,TOPIX Mid400
20250731,シキボウ,3109,繊維製品,0.0017%,TOPIX Small 2
20250731,日東紡績,3110,ガラス・土石製品,0.0181%,TOPIX Small 1
20250731,トヨタ紡織,3116,輸送用機器,0.0217%,TOPIX Mid400
20250731,マクニカホールディングス,3132,卸売業,0.0382%,TOPIX Mid400
20250731,Ｈａｍｅｅ,3134,小売業,0.0015%,TOPIX Small 2
20250731,ラクト・ジャパン,3139,卸売業,0.0043%,TOPIX Small 2
20250731,ウエルシアホールディングス,3141,小売業,0.0333%,TOPIX Mid400
20250731,クリエイトＳＤホールディングス,3148,小売業,0.0124%,TOPIX Small 1
20250731,グリムス,3150,電気・ガス業,0.0027%,TOPIX Small 2
20250731,バイタルケーエスケー・ホールディングス,3151,卸売業,0.0044%,TOPIX Small 2
20250731,八洲電機,3153,卸売業,0.0037%,TOPIX Small 2
20250731,メディアスホールディングス,3154,卸売業,0.0014%,TOPIX Small 2
20250731,レスター,3156,卸売業,0.0059%,TOPIX Small 2
20250731,ＴＯＫＡＩホールディングス,3167,卸売業,0.0147%,TOPIX Small 1
20250731,三洋貿易,3176,卸売業,0.0047%,TOPIX Small 2
20250731,シュッピン,3179,小売業,0.0030%,TOPIX Small 2
20250731,ビューティガレージ,3180,卸売業,0.0012%,TOPIX Small 2
20250731,オイシックス・ラ・大地,3182,小売業,0.0071%,TOPIX Small 1
20250731,ウイン・パートナーズ,3183,卸売業,0.0024%,TOPIX Small 2
20250731,ネクステージ,3186,小売業,0.0110%,TOPIX Small 1
20250731,ジョイフル本田,3191,小売業,0.0143%,TOPIX Small 1
20250731,エターナルホスピタリティグループ,3193,小売業,0.0032%,TOPIX Small 2
20250731,ホットランドホールディングス,3196,小売業,0.0039%,TOPIX Small 2
20250731,すかいらーくホールディングス,3197,小売業,0.0995%,TOPIX Mid400
20250731,ＳＦＰホールディングス,3198,小売業,0.0032%,TOPIX Small 2
20250731,綿半ホールディングス,3199,小売業,0.0031%,TOPIX Small 2
20250731,日本毛織,3201,繊維製品,0.0086%,TOPIX Small 1
20250731,ヨシックスホールディングス,3221,小売業,0.0022%,TOPIX Small 2
20250731,ユナイテッド・スーパーマーケット・ホールディングス,3222,小売業,0.0102%,TOPIX Small 1
20250731,野村不動産ホールディングス,3231,不動産業,0.0622%,TOPIX Mid400
20250731,三重交通グループホールディングス,3232,不動産業,0.0026%,TOPIX Small 2
20250731,ディア・ライフ,3245,不動産業,0.0046%,TOPIX Small 2
20250731,地主,3252,不動産業,0.0046%,TOPIX Small 2
20250731,フィル・カンパニー,3267,建設業,0.0003%,TOPIX Small 2
20250731,ＪＰＭＣ,3276,不動産業,0.0015%,TOPIX Small 2
20250731,フージャースホールディングス,3284,不動産業,0.0049%,TOPIX Small 2
20250731,オープンハウスグループ,3288,不動産業,0.0509%,TOPIX Mid400
20250731,東急不動産ホールディングス,3289,不動産業,0.0760%,TOPIX Mid400
20250731,飯田グループホールディングス,3291,不動産業,0.0481%,TOPIX Mid400
20250731,帝国繊維,3302,繊維製品,0.0074%,TOPIX Small 2
20250731,日本コークス工業,3315,石油・石炭製品,0.0023%,TOPIX Small 2
20250731,ゴルフダイジェスト・オンライン,3319,小売業,0.0003%,TOPIX Small 2
20250731,ＢＥＥＮＯＳ,3328,小売業,0.0015%,TOPIX Small 2
20250731,あさひ,3333,小売業,0.0029%,TOPIX Small 2
20250731,日本調剤,3341,小売業,0.0059%,TOPIX Small 2
20250731,コスモス薬品,3349,小売業,0.0473%,TOPIX Mid400
20250731,シップヘルスケアホールディングス,3360,卸売業,0.0197%,TOPIX Mid400
20250731,ソフトクリエイトホールディングス,3371,情報・通信業,0.0039%,TOPIX Small 2
20250731,セブン＆アイ・ホールディングス,3382,小売業,0.5590%,TOPIX Core30
20250731,クリエイト・レストランツ・ホールディングス,3387,小売業,0.0294%,TOPIX Small 1
20250731,明治電機工業,3388,卸売業,0.0025%,TOPIX Small 2
20250731,ツルハホールディングス,3391,小売業,0.0494%,TOPIX Mid400
20250731,サンマルクホールディングス,3395,小売業,0.0060%,TOPIX Small 2
20250731,トリドールホールディングス,3397,小売業,0.0318%,TOPIX Mid400
20250731,帝人,3401,繊維製品,0.0297%,TOPIX Mid400
20250731,東レ,3402,繊維製品,0.1820%,TOPIX Mid400
20250731,クラレ,3405,化学,0.0601%,TOPIX Mid400
20250731,旭化成,3407,化学,0.1678%,TOPIX Large70
20250731,ＴＯＫＹＯ　ＢＡＳＥ,3415,小売業,0.0013%,TOPIX Small 2
20250731,稲葉製作所,3421,金属製品,0.0025%,TOPIX Small 2
20250731,宮地エンジニアリンググループ,3431,金属製品,0.0059%,TOPIX Small 1
20250731,トーカロ,3433,金属製品,0.0145%,TOPIX Small 1
20250731,ＳＵＭＣＯ,3436,金属製品,0.0563%,TOPIX Mid400
20250731,川田テクノロジーズ,3443,金属製品,0.0062%,TOPIX Small 2
20250731,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3445,金属製品,0.0052%,TOPIX Small 1
20250731,Ａｎｄ　Ｄｏホールディングス,3457,不動産業,0.0016%,TOPIX Small 2
20250731,ケイアイスター不動産,3465,不動産業,0.0062%,TOPIX Small 1
20250731,グッドコムアセット,3475,不動産業,0.0030%,TOPIX Small 2
20250731,ジェイ・エス・ビー,3480,不動産業,0.0039%,TOPIX Small 2
20250731,ロードスターキャピタル,3482,不動産業,0.0039%,TOPIX Small 2
20250731,アズーム,3496,不動産業,0.0017%,TOPIX Small 2
20250731,霞ヶ関キャピタル,3498,不動産業,0.0188%,TOPIX Small 1
20250731,ＪＭホールディングス,3539,小売業,0.0053%,TOPIX Small 2
20250731,コメダホールディングス,3543,卸売業,0.0200%,TOPIX Small 1
20250731,アレンザホールディングス,3546,小売業,0.0020%,TOPIX Small 2
20250731,串カツ田中ホールディングス,3547,小売業,0.0015%,TOPIX Small 2
20250731,バロックジャパンリミテッド,3548,小売業,0.0023%,TOPIX Small 2
20250731,クスリのアオキホールディングス,3549,小売業,0.0265%,TOPIX Mid400
20250731,力の源ホールディングス,3561,小売業,0.0027%,TOPIX Small 2
20250731,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,小売業,0.1111%,TOPIX Mid400
20250731,アセンテック,3565,卸売業,0.0017%,TOPIX Small 2
20250731,セーレン,3569,繊維製品,0.0114%,TOPIX Small 1
20250731,小松マテーレ,3580,繊維製品,0.0027%,TOPIX Small 2
20250731,ワコールホールディングス,3591,繊維製品,0.0258%,TOPIX Mid400
20250731,ホギメディカル,3593,繊維製品,0.0154%,TOPIX Small 1
20250731,ＴＳＩホールディングス,3608,繊維製品,0.0077%,TOPIX Small 1
20250731,ワールド,3612,繊維製品,0.0103%,TOPIX Small 1
20250731,ＴＩＳ,3626,情報・通信業,0.1228%,TOPIX Mid400
20250731,グリーホールディングス,3632,情報・通信業,0.0040%,TOPIX Small 1
20250731,ＧＭＯペパボ,3633,情報・通信業,0.0005%,TOPIX Small 2
20250731,コーエーテクモホールディングス,3635,情報・通信業,0.0359%,TOPIX Mid400
20250731,三菱総合研究所,3636,情報・通信業,0.0054%,TOPIX Small 1
20250731,ファインデックス,3649,情報・通信業,0.0013%,TOPIX Small 2
20250731,ブレインパッド,3655,情報・通信業,0.0024%,TOPIX Small 2
20250731,ＫＬａｂ,3656,情報・通信業,0.0008%,TOPIX Small 2
20250731,ポールトゥウィンホールディングス,3657,情報・通信業,0.0012%,TOPIX Small 2
20250731,ネクソン,3659,情報・通信業,0.1637%,TOPIX Mid400
20250731,アイスタイル,3660,情報・通信業,0.0048%,TOPIX Small 1
20250731,エムアップホールディングス,3661,情報・通信業,0.0063%,TOPIX Small 1
20250731,エイチームホールディングス,3662,情報・通信業,0.0023%,TOPIX Small 2
20250731,セルシス,3663,情報・通信業,0.0054%,TOPIX Small 2
20250731,エニグモ,3665,情報・通信業,0.0008%,TOPIX Small 2
20250731,コロプラ,3668,情報・通信業,0.0043%,TOPIX Small 1
20250731,ブロードリーフ,3673,情報・通信業,0.0067%,TOPIX Small 1
20250731,デジタルハーツホールディングス,3676,情報・通信業,0.0017%,TOPIX Small 2
20250731,メディアドゥ,3678,情報・通信業,0.0019%,TOPIX Small 2
