コード,市場区分,銘柄名,累積採用回数
7272,プライム,ヤマハ発動機,13
7276,プライム,小糸製作所,13
7282,プライム,豊田合成,13
7309,プライム,シマノ,13
7419,プライム,ノジマ,10
7453,プライム,良品計画,13
7459,プライム,メディパルホールディングス,12
7532,プライム,パン・パシフィック・インターナショナルホールディングス,13
7550,プライム,ゼンショーホールディングス,9
7564,スタンダード,ワークマン,7
7599,プライム,ＩＤＯＭ,4
7649,プライム,スギホールディングス,13
7701,プライム,島津製作所,10
7716,スタンダード,ナカニシ,3
7729,プライム,東京精密,8
7733,プライム,オリンパス,11
7735,プライム,ＳＣＲＥＥＮホールディングス,10
7740,プライム,タムロン,1
7741,プライム,ＨＯＹＡ,13
7744,プライム,ノーリツ鋼機,2
7747,プライム,朝日インテック,10
7751,プライム,キヤノン,10
7762,プライム,シチズン時計,2
7832,プライム,バンダイナムコホールディングス,13
7846,プライム,パイロットコーポレーション,11
7867,プライム,タカラトミー,2
7906,スタンダード,ヨネックス,1
7912,プライム,大日本印刷,2
7936,プライム,アシックス,8
7944,プライム,ローランド,2
7951,プライム,ヤマハ,11
7974,プライム,任天堂,8
7988,プライム,ニフコ,13
7994,プライム,オカムラ,1
8001,プライム,伊藤忠商事,13
8002,プライム,丸紅,13
8015,プライム,豊田通商,13
8020,プライム,兼松,13
8031,プライム,三井物産,13
8035,プライム,東京エレクトロン,12
8053,プライム,住友商事,13
8056,プライム,ＢＩＰＲＯＧＹ,8
8058,プライム,三菱商事,13
8060,プライム,キヤノンマーケティングジャパン,3
8078,プライム,阪和興業,7
8088,プライム,岩谷産業,13
8098,プライム,稲畑産業,3
8111,プライム,ゴールドウイン,7
8113,プライム,ユニ・チャーム,13
8130,プライム,サンゲツ,1
8133,プライム,伊藤忠エネクス,3
8136,プライム,サンリオ,7
8154,プライム,加賀電子,3
8174,プライム,日本瓦斯,8
8194,プライム,ライフコーポレーション,5
8227,プライム,しまむら,10
8252,プライム,丸井グループ,7
8253,プライム,クレディセゾン,5
8279,プライム,ヤオコー,11
8306,プライム,三菱ＵＦＪフィナンシャル・グループ,13
8308,プライム,りそなホールディングス,13
8309,プライム,三井住友トラストグループ,13
8316,プライム,三井住友フィナンシャルグループ,13
8331,プライム,千葉銀行,13
8354,プライム,ふくおかフィナンシャルグループ,10
8410,プライム,セブン銀行,13
8411,プライム,みずほフィナンシャルグループ,13
8424,プライム,芙蓉総合リース,13
8425,プライム,みずほリース,10
8439,プライム,東京センチュリー,13
8473,プライム,ＳＢＩホールディングス,10
8515,プライム,アイフル,2
8572,スタンダード,アコム,8
8584,プライム,ジャックス,3
8591,プライム,オリックス,13
8593,プライム,三菱ＨＣキャピタル,13
8601,プライム,大和証券グループ本社,12
8604,プライム,野村ホールディングス,13
8630,プライム,ＳＯＭＰＯホールディングス,11
8697,プライム,日本取引所グループ,13
8725,プライム,ＭＳ＆ＡＤインシュアランスグループホールディングス,11
8750,プライム,第一生命ホールディングス,13
8766,プライム,東京海上ホールディングス,13
8801,プライム,三井不動産,13
8802,プライム,三菱地所,13
8804,プライム,東京建物,11
8830,プライム,住友不動産,13
8848,プライム,レオパレス２１,6
8850,プライム,スターツコーポレーション,11
8876,プライム,リログループ,12
8919,プライム,カチタス,5
8923,プライム,トーセイ,1
9005,プライム,東急,9
9006,プライム,京浜急行電鉄,2
9007,プライム,小田急電鉄,10
9008,プライム,京王電鉄,9
9009,プライム,京成電鉄,9
9021,プライム,西日本旅客鉄道,9
9022,プライム,東海旅客鉄道,12
9024,プライム,西武ホールディングス,6
9041,プライム,近鉄グループホールディングス,10
9064,プライム,ヤマトホールディングス,13
9065,プライム,山九,13
9069,プライム,センコーグループホールディングス,5
9090,プライム,ＡＺ－ＣＯＭ丸和ホールディングス,5
9101,プライム,日本郵船,7
9104,プライム,商船三井,5
9107,プライム,川崎汽船,4
9110,プライム,ＮＳユナイテッド海運,3
9119,プライム,飯野海運,2
9142,プライム,九州旅客鉄道,3
9143,プライム,ＳＧホールディングス,5
9147,プライム,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,5
9201,プライム,日本航空,6
9202,プライム,ＡＮＡホールディングス,9
9302,プライム,三井倉庫ホールディングス,4
9418,プライム,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,5
9432,プライム,ＮＴＴ,13
9433,プライム,ＫＤＤＩ,13
9434,プライム,ソフトバンク,4
9435,プライム,光通信,13
9449,プライム,ＧＭＯインターネットグループ,10
9502,プライム,中部電力,10
9503,プライム,関西電力,9
9506,プライム,東北電力,7
9507,プライム,四国電力,1
9508,プライム,九州電力,7
9509,プライム,北海道電力,4
9513,プライム,電源開発,13
9531,プライム,東京瓦斯,13
9532,プライム,大阪瓦斯,13
9602,プライム,東宝,13
9684,プライム,スクウェア・エニックス・ホールディングス,9
9697,プライム,カプコン,9
9719,プライム,ＳＣＳＫ,13
9735,プライム,セコム,13
9744,プライム,メイテックグループホールディングス,9
9759,プライム,ＮＳＤ,4
9766,プライム,コナミグループ,11
9843,プライム,ニトリホールディングス,13
9962,プライム,ミスミグループ本社,13
9983,プライム,ファーストリテイリング,13
9984,プライム,ソフトバンクグループ,12
9989,プライム,サンドラッグ,13
