Code,mean,count,std,min,max
4493,0.28780398476657826,1131,0.24021659887637606,-0.657589436,0.835458279
8015,0.2876869252734314,1291,0.25268065950374335,-0.713069499,0.819567084
7701,0.2876103965548854,1658,0.23677435307439876,-0.727310598,0.838448524
7164,0.2869836549201389,288,0.27605430970858075,-0.664427221,0.845257342
6005,0.28610848274132494,634,0.22847192509580402,-0.609775364,0.73628372
4901,0.2860826383689091,5931,0.22981789758497598,-0.731507301,0.835288286
9418,0.28580881810689657,870,0.22492729292609626,-0.495815516,0.834923029
7148,0.28488604558124997,160,0.2411921609710641,-0.720319867,0.789535105
4488,0.28488554992114384,1154,0.22887615665554398,-0.528051734,0.819536507
8002,0.28440549784767394,2429,0.2415708953230989,-0.733387172,0.832533896
4490,0.28388304617692306,130,0.25714654230467765,-0.606658041,0.81294471
9513,0.28360296458917644,2125,0.25114578661211495,-0.705701113,0.803822756
4165,0.2835126303083333,360,0.235714262695825,-0.51845634,0.745513558
6645,0.2833736394161074,2086,0.24514781483429737,-0.740368545,0.780671716
4375,0.2815188805847751,867,0.29343577140611643,-0.703871608,0.843500197
6383,0.2809228029442897,359,0.2500262903219443,-0.704639435,0.818754852
7317,0.27988663415151516,33,0.2500167541923823,-0.261805415,0.818083227
6448,0.27917494548309707,917,0.2609230561317322,-0.688788533,0.832532704
3099,0.27901693175262116,3529,0.27308087516871316,-0.731632948,0.847428501
6753,0.278350052890365,7452,0.2439814840950692,-0.716951489,0.818128407
6724,0.2778157860805369,2980,0.2293892864085638,-0.725184739,0.822202504
4811,0.27761558827272725,121,0.2738629272477995,-0.548797011,0.803130805
4401,0.2775296006467066,167,0.23230629839508898,-0.705781758,0.686324835
9007,0.2772795986404692,6820,0.25853772594861213,-0.660707355,0.776349247
7157,0.27720483209114416,1547,0.27745962622706705,-0.701917171,0.836769044
7167,0.2770659245422078,308,0.27666064158663156,-0.688644052,0.827844858
2127,0.2770029793823272,1143,0.23022933010492547,-0.704192698,0.771593809
8253,0.2767821253333333,24,0.30434063467497036,-0.437183678,0.615869939
5019,0.2764205511570552,1630,0.2661941976166394,-0.727482915,0.799016595
5929,0.27615930076271183,295,0.23708090015131295,-0.54183805,0.836422265
9021,0.2759638686844737,8199,0.2804654715781681,-0.716755986,0.826050401
6674,0.275358764555336,506,0.28463952821006483,-0.720296562,0.841005981
7532,0.27492656265699483,965,0.258457646766291,-0.544032514,0.844123662
3563,0.274918264822335,1182,0.24694653490150645,-0.724637449,0.803008437
6613,0.2746746473969072,194,0.2492825791831991,-0.598298252,0.830937028
5026,0.27447670702970295,101,0.26712386842307295,-0.628077984,0.785732269
7752,0.2743464865544834,4249,0.2521881749740929,-0.739206195,0.839702189
1969,0.2737253438329466,431,0.2221732030765465,-0.515185416,0.817792356
5592,0.273222542015873,189,0.264822644462167,-0.543688715,0.792673469
7599,0.27258014362109373,512,0.23606386607823582,-0.537359715,0.787337184
2195,0.2721554414901961,102,0.21028212197382937,-0.396090209,0.72342658
8053,0.27146614761314986,654,0.27895104897049083,-0.709934771,0.812145293
4186,0.2710357339224138,348,0.281181439239671,-0.710403085,0.84673214
4684,0.2708250836313416,887,0.242204450333211,-0.51002723,0.836664855
6966,0.2701747763218391,261,0.3117897056500116,-0.723190308,0.817330182
9008,0.26830703204162015,6271,0.25423842761662946,-0.715662897,0.808928847
9218,0.2682229597605634,142,0.25635631200122644,-0.472030699,0.795719326
156A,0.26715269776855893,229,0.2688301400261667,-0.677639782,0.825627446
6094,0.26699035764814816,270,0.3000105773845844,-0.674858749,0.813436329
6806,0.2669316797553648,233,0.2985125246424183,-0.735031962,0.819828451
6544,0.26670186996899226,129,0.2475995097728711,-0.340601027,0.80227977
6471,0.2664514025879765,682,0.24399459775762886,-0.673332214,0.81151861
6501,0.26615102875550034,8045,0.25366521109582396,-0.741274714,0.839649141
4732,0.26578774854813136,883,0.2528537005584684,-0.71716398,0.828162014
9962,0.26570648528365387,416,0.2576854011257012,-0.683374047,0.829881668
6323,0.2654503483421053,152,0.2644392740295408,-0.641368032,0.847697079
9202,0.2647279262324196,839,0.2761397661519397,-0.684269547,0.783367693
1963,0.2643924380283688,564,0.2694491279959237,-0.711531699,0.815685391
5706,0.2643312267594981,2869,0.25937036818682246,-0.719012439,0.820779681
2670,0.2642458747268722,908,0.23481200379205644,-0.687767982,0.821850955
4013,0.2627155856060606,99,0.29536889117848547,-0.522035301,0.708895922
8354,0.26270337565804597,696,0.2679189022069651,-0.701831818,0.820247293
5842,0.2626504008318584,339,0.22376534233654696,-0.341769755,0.7944839
3088,0.2625612854908722,986,0.2564981098132306,-0.697523475,0.842225075
9001,0.2618962534712309,6865,0.24795936766807325,-0.71067363,0.841514528
5857,0.2613635414487651,1903,0.2238927015903868,-0.677502573,0.83845973
4324,0.26107461288619066,2759,0.263837640493629,-0.70098561,0.810874999
9744,0.26088075825925927,27,0.29384434342812366,-0.586470783,0.605768919
4182,0.2607914372090909,110,0.2772946263071587,-0.685190082,0.766317904
8306,0.25960293907052845,5317,0.28355635635179677,-0.709036767,0.844167948
8233,0.2595087091332043,5683,0.2484068488700521,-0.714681387,0.843002558
6762,0.25940612969041277,1502,0.2577821803087262,-0.719007611,0.819621444
8020,0.25932939634842767,795,0.24133366993419322,-0.737701833,0.81960696
8194,0.25901578786788776,2566,0.2529555688592797,-0.715083778,0.843897223
8111,0.25788820148580893,2114,0.21113210995449871,-0.590944767,0.826995909
6965,0.25786585194,550,0.2736172856630431,-0.71819371,0.830937028
6269,0.2576701186651584,221,0.2836178603821341,-0.716783881,0.742255986
6952,0.2574285677282131,3867,0.21459168396476358,-0.71720773,0.802859664
5201,0.2569725650940298,1340,0.2649564459382463,-0.706643581,0.792937756
7320,0.2567551192758621,58,0.30691577840629514,-0.595548511,0.784518123
6951,0.25552535231647333,2155,0.2663676781018928,-0.71720773,0.818444371
9166,0.2549465412572559,758,0.2558664698363895,-0.686169267,0.836489201
4768,0.2547666150545877,861,0.29935524163891836,-0.695503592,0.841039956
7674,0.25469212190526314,95,0.20926148656053647,-0.621810079,0.685471714
7779,0.2545922560098522,203,0.25339983967433277,-0.58689487,0.702328146
7105,0.2544201002198276,464,0.274986555781767,-0.71047008,0.768866777
2936,0.2539004712509225,1084,0.23116276788858023,-0.719351649,0.827920496
6504,0.25334891563270606,1541,0.2753421603737482,-0.730027378,0.81514746
9101,0.25325961053061224,2303,0.2748239011858163,-0.703716815,0.846282482
1928,0.25213186494446516,2683,0.2960433853940107,-0.702956498,0.828765035
7259,0.25132318410808396,2239,0.25644364250109136,-0.723136663,0.784275174
4043,0.2511895873533654,416,0.2556770954817533,-0.695604503,0.80364871
7731,0.2509558175971209,5071,0.22259692325743233,-0.739448667,0.809486747
7276,0.2509117828847518,564,0.29706142483639936,-0.698999405,0.834443867
2768,0.2508039993545483,3221,0.26210867552039896,-0.725466371,0.842111111
3288,0.25047311895978935,2089,0.26554978332855844,-0.706292808,0.822226048
6787,0.24983810735652173,115,0.2650794345495721,-0.537349105,0.810606778
5802,0.2489864225232,625,0.2801380284909476,-0.714051723,0.827870548
5714,0.24877001289528797,191,0.23330591901077863,-0.612235427,0.753775716
6723,0.24857407139753568,1542,0.35595974109958284,-0.728486955,0.831460953
6098,0.2484757839466843,4539,0.26008265289260074,-0.719242394,0.833571255
9009,0.24824020757495743,4696,0.24981177548057734,-0.703678727,0.788523018
9164,0.24821617931683168,101,0.23064238304324441,-0.164175808,0.828217328
4413,0.24797201155555554,27,0.2729265451489173,-0.338000178,0.677586317
8098,0.24729731877941177,136,0.2859327497927273,-0.602671862,0.81403023
3148,0.24692381144242423,165,0.30944647968537753,-0.709700465,0.836157918
9158,0.2464669305636364,110,0.31907667282627933,-0.646662712,0.749071121
9201,0.2459697842003353,8351,0.26710514587617235,-0.722869396,0.837558627
7729,0.24469724258199357,311,0.28024857454047986,-0.637462735,0.82230252
9227,0.24348745011111111,216,0.2696273949067848,-0.698615253,0.686328232
6976,0.24310342244322342,819,0.29176940109208277,-0.714823246,0.788728833
8473,0.24310009447578204,1982,0.260887035295951,-0.613996804,0.821226001
4478,0.24301049571139854,6185,0.23156377008150156,-0.672508121,0.82048285
9251,0.24293083698076925,52,0.3188868875410216,-0.727477372,0.673245907
