code,Sector,Industry,MarketCap
9005,Consumer Cyclical,Department Stores,1038038073344
9006,Industrials,Conglomerates,418486059008
9007,Industrials,Railroads,590325612544
9008,Industrials,Conglomerates,479386009600
9009,Industrials,Railroads,630998827008
9020,Industrials,Railroads,4733576151040
9021,Industrials,Railroads,1421681885184
9022,Industrials,Railroads,4231698579456
9024,Industrials,Conglomerates,1079566139392
9041,Industrials,Conglomerates,604505112576
9064,Industrials,Trucking,671829917696
9065,Industrials,Integrated Freight & Logistics,445639229440
9069,Industrials,Integrated Freight & Logistics,353529987072
9090,Industrials,Integrated Freight & Logistics,134413885440
9101,Industrials,Marine Shipping,2180094099456
9104,Industrials,Marine Shipping,1689854541824
9107,Industrials,Marine Shipping,1458557550592
9110,Industrials,Marine Shipping,160717504512
9119,Industrials,Marine Shipping,158387011584
9142,Industrials,Conglomerates,630895673344
9143,Industrials,Integrated Freight & Logistics,882569183232
9147,Industrials,Integrated Freight & Logistics,831244468224
9158,Healthcare,Medical Care Facilities,25504317440
9162,Communication Services,Advertising Agencies,8016590336
9163,Industrials,Engineering & Construction,20521207808
9164,Industrials,Staffing & Employment Services,0
9166,Consumer Cyclical,Leisure,145258332160
9168,Industrials,Consulting Services,20642985984
9201,Industrials,Airlines,1278220697600
9202,Industrials,Airlines,1424725770240
9204,Industrials,Airports & Air Services,22447540224
9211,Communication Services,Advertising Agencies,18691674112
9218,Healthcare,Medical Care Facilities,8375336448
9223,Industrials,Rental & Leasing Services,7459116544
9227,Basic Materials,Chemicals,16178923520
9245,Communication Services,Internet Content & Information,12255734784
9251,Consumer Cyclical,Personal Services,17380192256
9252,Industrials,Specialty Business Services,10780866560
9270,Consumer Cyclical,Specialty Retail,21148985344
9272,Consumer Cyclical,Internet Retail,13863432192
9302,Industrials,Integrated Freight & Logistics,283136819200
9338,Industrials,Specialty Business Services,18992017408
9343,Technology,Software - Application,13596818432
9348,Technology,Computer Hardware,75862622208
9418,Industrials,Conglomerates,360749826048
9432,Communication Services,Telecom Services,12965903335424
9433,Communication Services,Telecom Services,10353350017024
9434,Communication Services,Telecom Services,10336474234880
9435,Industrials,Conglomerates,1962404741120
9449,Communication Services,Telecom Services,401418223616
9467,Communication Services,Internet Content & Information,47631314944
9501,Utilities,Utilities - Renewable,1156691001344
9502,Utilities,Utilities - Diversified,1670223626240
9503,Utilities,Utilities - Renewable,2854251397120
9506,Utilities,Utilities - Renewable,593629020160
