Code,filerName,TotalFiles,FirstSubmission,LastSubmission,その他,2018,2019,2020,2021,2022,2023,2024,2025,2026
3088,株式会社マツキヨココカラ＆カンパニー,21,2018-02-13 16:00:00,2025-11-13 16:00:00,21,3,3,0,1,5,4,3,2,0
3088,株式会社マツモトキヨシホールディングス,11,2018-06-28 16:00:00,2021-08-12 16:00:00,11,1,1,6,3,0,0,0,0,0
3092,株式会社ゾゾ,1,2018-06-27 15:36:00,2018-06-27 15:36:00,1,1,0,0,0,0,0,0,0,0
3092,株式会社ＺＯＺＯ,31,2018-02-14 15:03:00,2025-11-14 15:33:00,31,4,4,4,5,5,4,3,2,0
3099,株式会社三越伊勢丹ホールディングス,29,2018-02-02 11:40:00,2025-11-14 13:13:00,29,4,4,4,4,4,4,3,2,0
3107,ダイワボウホールディングス株式会社,29,2018-02-14 13:43:00,2025-11-13 09:04:00,29,4,4,4,4,4,4,3,2,0
3116,トヨタ紡織株式会社,29,2018-02-13 09:20:00,2025-11-12 09:42:00,29,4,4,4,4,4,4,3,2,0
3132,マクニカホールディングス株式会社,18,2018-02-14 09:32:00,2025-11-14 14:05:00,18,4,3,0,0,2,4,3,2,0
3132,マクニカ・富士エレ　ホールディングス株式会社,13,2018-06-26 13:10:00,2022-06-23 13:21:00,13,1,1,4,5,2,0,0,0,0
3133,株式会社海帆,37,2018-02-13 09:22:00,2025-12-05 09:16:00,37,4,4,5,4,5,4,4,7,0
3140,株式会社イデアインターナショナル,10,2018-09-27 15:36:00,2021-09-30 13:27:00,10,1,1,4,4,0,0,0,0,0
3140,ＢＲＵＮＯ株式会社,22,2018-02-13 15:39:00,2025-09-29 13:45:00,22,4,3,0,1,4,5,3,2,0
3141,ウエルシアホールディングス株式会社,37,2018-01-10 15:13:00,2025-10-08 15:35:00,37,4,4,4,6,6,5,5,3,0
3148,株式会社クリエイトＳＤホールディングス,33,2018-01-12 09:00:00,2026-01-14 09:11:00,33,4,5,4,5,4,4,4,2,1
3186,株式会社ネクステージ,29,2018-02-21 15:22:00,2025-07-07 15:32:00,29,4,4,4,4,4,4,3,2,0
3187,株式会社サンワカンパニー,26,2018-02-14 15:11:00,2024-05-14 16:04:00,26,4,4,4,4,4,4,2,0,0
