DocID,FinBERT_Score,TextLength
S100C8C0,0.18221041159125037,24096
S100C8FN,0.24583085291669704,14646
S100C8G2,0.25132743276509584,11639
S100C8GJ,0.19486669029267328,12295
S100C8GL,0.30660629227884817,13624
S100C8HB,0.17898099630876305,17538
S100C8HH,0.2713091652840376,17298
S100C8IC,0.19185199453322976,15673
S100C8JG,0.30893757686551127,9770
S100C8KW,0.3601666449285145,16226
S100C8L7,0.24349049343505785,19024
S100C8N3,0.17990306650843124,42107
S100C8NE,0.2833948252559866,12024
S100C8NG,0.2898211306700968,8561
S100C8NI,0.2989594409361892,12818
S100C8OJ,0.20080947781265793,20752
S100C8P9,0.243298935800946,22056
S100C8PJ,0.2507719253305863,33863
S100C8RA,0.309412511427281,22915
S100C8RN,0.1985918306715929,17366
S100C8TR,0.26251145886338273,13182
S100C8WA,0.3028344969062702,13518
S100C8WU,0.3543789553585235,23640
S100C8WV,0.17102650818644,14048
S100C8X5,0.23405799645115621,14863
S100C8XY,0.3670558273073683,22293
S100C8Y0,0.25023193359892404,16542
S100C8YE,0.1613196660726031,13899
S100C8ZX,0.1692186867415208,19490
S100C8ZY,0.19776587359956466,14744
S100C903,0.2168944511646615,15430
S100C90G,0.26213635261750445,12110
S100C93J,0.2275333585558643,15941
S100C94R,0.21587549536523962,15480
S100C958,0.18567668359543457,14428
S100C95Q,0.18392706265052158,20647
S100C96T,0.2202472126305993,22575
S100C97K,0.280970913062031,15248
S100C99C,0.21868078439503677,14527
S100C9B5,0.25725461518668746,29461
S100C9B9,0.22471006308560787,13176
S100C9BG,0.17979596171682402,18822
S100C9C0,0.2826192975771136,23670
S100C9C7,0.24738115473933842,13235
S100C9CC,0.2770349977751418,47556
S100C9CG,0.28026348343119023,22493
S100C9CU,0.16536031297631393,26454
S100C9EC,0.3078092905087071,16232
S100C9EE,0.3558331026240837,24644
S100C9FO,0.33908756988600264,14109
S100C9GF,0.24176859852573104,13910
S100C9HG,0.2045853571097056,17237
S100C9JA,0.1765965099774095,28637
S100C9JF,0.24868357371418706,17544
S100C9JN,0.22623941803286815,13487
S100C9JU,0.2356295669192655,16823
S100C9LZ,0.3347037823616781,10396
S100C9ML,0.25128097048847475,25206
S100C9MR,0.24311499324711885,12674
S100C9MU,0.16389292133908692,16950
S100C9N6,0.286322997347546,28652
S100C9NT,0.31560211143839884,15787
S100C9PD,0.2267271141063864,13522
S100C9PE,0.270332418265472,47925
S100C9PP,0.3332709532836054,13482
S100C9PZ,0.26958813244367347,7977
S100C9QA,0.29463535120849277,29317
S100C9RU,0.256163147732246,14733
S100C9S1,0.19689346398808993,28155
S100C9SE,0.21988072719348492,39603
S100C9SS,0.30350150566461476,14878
S100C9WG,0.16369879108510518,11091
S100C9X2,0.10651837730769477,20351
S100C9X8,0.1969052583976524,14808
S100C9XG,0.30080039738677444,9336
S100C9XR,0.2288255429835327,38203
S100C9XY,0.22554781926717138,33902
S100C9YA,0.2831617111652872,15951
S100C9YX,0.202886834269083,18143
S100C9ZX,0.221410911434736,13609
S100CA18,0.2941739757855733,9265
S100CA26,0.2186795275097024,16535
S100CA2H,0.25065148863941433,15867
S100CA33,0.25049969111295306,20031
S100CA3S,0.23716630683567538,18544
S100CA57,0.30346328751524776,19034
S100CA7B,0.3051495272666216,13116
S100CA7Q,0.235868996178562,20275
S100CA8B,0.23513981979891393,19236
S100CA94,0.2481853437423706,11524
S100CA9L,0.20857535734589847,18131
S100CA9O,0.20396033536220334,11075
S100CAB0,0.3762238915573726,21536
S100CABU,0.22307552169876463,43058
S100CACT,0.27229980002186316,18949
S100CADA,0.1738168605398841,19266
S100CAE5,0.23719918239588117,20418
S100CAFH,0.2843065309489882,9666
S100CAHD,0.2425393099838402,14397
S100CAHF,0.29499200631283856,27032
S100CAJ5,0.2612004217879819,22806
S100CAJC,0.23490293864580922,15458
S100CAJW,0.24760300359658657,20694
S100CAKJ,0.14125061696499921,10094
S100CAL1,0.2647147254908786,19886
S100CALB,0.19258803122233006,12440
S100CAOQ,0.3262629319544671,24289
S100CAP2,0.27342072897350667,11126
S100CAR2,0.22559691281095753,14200
S100CARF,0.16463467769586204,12900
S100CAT0,0.3241104871607744,23614
S100CAT6,0.2587417083505158,24582
S100CATM,0.14164058388107353,22194
S100CATT,0.2756531658628698,20217
S100CAUG,0.22893577978223353,16308
S100CAVM,0.2670923249050975,24335
S100CAWC,0.2406287360624228,20893
S100CAWE,0.27677878062397043,17880
S100CAWZ,0.30334427683366894,19953
S100CAX1,0.3205090238552961,28529
S100CAX8,0.17461556999767122,14213
S100CAXB,0.24923033471460695,15393
S100CAXV,0.27143821085874853,14960
S100CAY4,0.24755730518410282,17709
S100CAYL,0.3142185706069799,14165
S100CAYN,0.25919792972066824,19535
S100CAYQ,0.2862157533203976,16442
S100CB01,0.17307831219264438,16149
S100CB0Q,0.22014837470170445,24953
S100CB0X,0.28936235330582877,23696
S100CB1B,0.257020097468379,19627
S100CB29,0.24339331058089178,23215
S100CB2F,0.234835289940238,11836
S100CB2V,0.3735717716289749,44268
S100CB33,0.3067236742769767,25081
S100CB41,0.2397459493432608,16252
S100CB4H,0.11109191156599833,13089
S100CB55,0.2037474576579897,22431
S100CB5I,0.07758790051647976,15358
S100CB5R,0.27285477582294987,19151
S100CB65,0.17976896350785176,29079
S100CB69,0.2123339490362388,15466
S100CB71,0.2911613435781264,20734
S100CB7E,0.220575915363567,28534
S100CB7O,0.20141492911851874,11729
S100CB80,0.18885500533218236,11229
S100CB84,0.30484315098911385,26124
S100CB8U,0.2009471787426334,18268
S100CB90,0.26106372957342655,19665
S100CB9K,0.2862745646549308,13286
S100CB9X,0.20418072485461317,33331
S100CBAO,0.1778009337986388,23606
S100CBBF,0.11003500103139977,25537
S100CBBV,0.23686705690554596,15272
S100CBCB,0.12415301085624632,25232
S100CBCE,0.18552133335105217,41481
S100CBCL,0.26731272032784836,14429
S100CBCS,0.27922597386260734,25040
S100CBCV,0.2868784205407225,20998
S100CBCZ,0.19631250864649946,17347
S100CBDQ,0.15689023742957633,14915
S100CBDY,0.24522503161508785,27289
S100CBE3,0.2522772890863134,15371
S100CBEA,0.22345767797608124,15585
S100CBEV,0.21258191782397423,40645
S100CBH0,0.22721512371723632,26724
S100CBHM,0.26617706744000313,13751
S100CBI5,0.2648116371887071,20177
S100CBIQ,0.2567664706758384,16320
S100CBIZ,0.25948601432547375,8695
S100CBJ8,0.2713622371259245,11913
S100CBJO,0.18431558929213132,14782
S100CBJX,0.26131494167364305,20174
S100CBLJ,0.24369404807686806,14276
S100CBLK,0.3104641618614165,17393
S100CBLN,0.23934140338691895,26985
S100CBLQ,0.25901375948217326,42251
S100CBLU,0.15568707184977562,146460
S100CBMA,0.2602863736656679,26329
