code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
4516,日本新薬,0,0,0,1,0,0
4519,中外薬,1,0,1,1,0,0
4523,エーザイ,1,0,1,1,0,0
4527,ロート製薬,0,0,0,1,0,0
4528,小野薬品工業,0,0,0,1,0,0
4543,テルモ,1,0,1,1,0,0
4563,アンジェス,0,0,0,0,0,1
4564,オンコセラピー・サイエンス,0,0,0,0,0,1
4568,第一三共,1,1,1,1,0,0
4571,ＮＡＮＯ　ＭＲＮＡ,0,0,0,0,0,1
4572,カルナバイオサイエンス,0,0,0,0,0,1
4575,キャンバス,0,0,0,0,0,1
4578,大塚ＨＤ,1,0,1,1,0,0
4579,ラクオリア創薬,0,0,0,0,0,1
4582,シンバイオ製薬,0,0,0,0,0,1
4587,ペプチドリーム,0,0,0,1,0,0
4588,オンコリスバイオファーマ,0,0,0,0,0,1
4592,サンバイオ,0,0,0,0,0,1
4593,ヘリオス,0,0,0,0,0,1
4597,ソレイジア・ファーマ,0,0,0,0,0,1
4599,ステムリム,0,0,0,0,0,1
4612,日本ペイントホールディングス,0,0,0,1,0,0
4613,関西ペイント,0,0,0,1,0,0
4626,太陽ホールディングス,0,0,0,1,0,0
4661,ＯＬＣ,1,0,1,1,0,0
4666,パーク２４,0,0,0,1,0,0
4680,ラウンドワン,0,0,0,1,0,0
4681,リゾートトラスト,0,0,0,1,0,0
4684,オービック,0,0,0,1,0,0
4686,ジャストシステム,0,0,0,1,0,0
4689,ラインヤフー,1,0,1,1,0,0
4704,トレンド,1,0,0,1,0,0
4716,日本オラクル,0,0,0,1,0,0
4722,フューチャー,0,0,0,1,0,0
4732,ユー・エス・エス,0,0,0,1,0,0
4751,サイバー,1,0,0,0,0,0
4755,楽天グループ,1,0,0,0,0,0
4768,大塚商会,0,0,0,1,0,0
4772,ストリームメディアコーポレーション,0,0,0,0,0,1
4811,ドリーム・アーツ,0,0,0,0,0,1
4812,電通総研,0,0,0,1,0,0
