name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
シップヘルスケアホールディングス,3360,有り,2018-05-30,2025-09-26,1796,93.88,無し
セブン＆アイ,3382,有り,2018-05-30,2025-09-26,1796,93.88,無し
ツルハホールディングス,3391,有り,2018-05-30,2025-09-26,1796,93.88,無し
帝人,3401,有り,2018-05-30,2025-09-26,1796,93.88,無し
東レ,3402,有り,2018-05-30,2025-09-26,1796,93.88,無し
クラレ,3405,有り,2018-05-30,2025-09-26,1796,93.88,無し
旭化成,3407,有り,2018-05-30,2025-09-26,1796,93.88,無し
バルニバービ,3418,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＵＭＣＯ,3436,有り,2018-05-30,2025-09-26,1796,93.88,無し
ケイアイスター不動産,3465,有り,2018-05-30,2025-09-26,1796,93.88,無し
ティーケーピー,3479,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,3491,有り,2018-12-21,2025-09-26,1649,93.37,無し
アズーム,3496,有り,2019-02-25,2025-09-26,1608,93.49,無し
ベガコーポレーション,3542,有り,2018-05-30,2025-09-26,1796,93.88,無し
クスリのアオキホールディングス,3549,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジェイドグループ,3558,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,有り,2018-05-30,2025-09-26,1796,93.88,無し
ビリングシステム,3623,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＴＩＳ,3626,有り,2018-05-30,2025-09-26,1796,93.88,無し
コーエーテクモホールディングス,3635,有り,2018-05-30,2025-09-26,1796,93.88,無し
モルフォ,3653,有り,2018-05-30,2025-09-26,1796,93.88,無し
ネクソン,3659,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＦＦＲＩセキュリティ,3692,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＨＩＦＴ,3697,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本ファルコム,3723,有り,2018-05-30,2025-09-26,1796,93.88,無し
ガンホー・オンライン・エンターテイメント,3765,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＧＭＯペイメントゲートウェイ,3769,有り,2018-05-30,2025-09-26,1796,93.88,無し
アドバンスト・メディア,3773,有り,2018-05-30,2025-09-26,1796,93.88,無し
インターネットイニシアティブ,3774,有り,2018-05-30,2025-09-26,1796,93.88,無し
環境フレンドリーホールディングス,3777,有り,2018-05-30,2025-09-26,1796,93.88,無し
ドリコム,3793,有り,2018-05-30,2025-09-26,1796,93.88,無し
王子ＨＤ,3861,有り,2018-05-30,2025-09-26,1796,93.88,無し
クラウドワークス,3900,有り,2018-05-30,2025-09-26,1796,93.88,無し
カヤック,3904,有り,2018-05-30,2025-09-26,1796,93.88,無し
データセクション,3905,有り,2018-05-30,2025-09-26,1796,93.88,無し
Ａｉｍｉｎｇ,3911,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＩＧ－ＳＡＷ,3914,有り,2018-05-30,2025-09-26,1796,93.88,無し
ラクス,3923,有り,2018-05-30,2025-09-26,1796,93.88,無し
うるる,3979,有り,2018-05-30,2025-09-26,1796,93.88,無し
シェアリングテクノロジー,3989,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＵＵＵＭ,3990,無し,,,0,0.0,N/A
ウォンテッドリー,3991,有り,2018-05-30,2025-09-26,1796,93.88,無し
レゾナック,4004,有り,2018-05-30,2025-09-26,1796,93.88,無し
住友化,4005,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヘッドウォータース,4011,有り,2021-03-11,2025-09-26,1114,93.85,無し
勤次郎,4013,有り,2021-03-22,2025-09-26,1107,93.81,無し
ペイクラウドホールディングス,4015,有り,2021-04-28,2025-09-26,1080,93.67,無し
日産化,4021,有り,2018-05-30,2025-09-26,1796,93.88,無し
東ソー,4042,有り,2018-05-30,2025-09-26,1796,93.88,無し
トクヤマ,4043,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＧＭＯフィナンシャルゲート,4051,有り,2020-12-24,2025-09-26,1164,93.72,無し
日本情報クリエイト,4054,有り,2021-01-08,2025-09-26,1155,93.83,無し
ティアンドエスグループ,4055,有り,2021-01-19,2025-09-26,1149,93.87,無し
ニューラルグループ,4056,有り,2021-02-01,2025-09-26,1140,93.83,無し
トヨクモ,4058,有り,2021-03-05,2025-09-26,1118,93.87,無し
デンカ,4061,有り,2018-05-30,2025-09-26,1796,93.88,無し
