DocID,NetSales,OperatingIncome,Method
S100URTV,395061000000.0,99497000000.0,Rule
S100L0TZ,939243000000.0,15748000000.0,Rule
S100L0ZS,238314000000.0,18447000000.0,Rule
S100URU0,1969968000.0,-17527000.0,Rule
S100SSC5,273779000000.0,31513000000.0,Rule
S100L10O,48375000000.0,3575000000.0,Rule
S100MYAE,,,Rule
S100P0JF,143469000000.0,18264000000.0,Rule
S100MYBV,,,Rule
S100MYO7,208351000000.0,15608000000.0,Rule
S100R2MZ,779964000000.0,21734000000.0,Rule
S100P0JL,165345000000.0,6973000000.0,Rule
S100URU6,7700000.0,-373995000.0,Rule
S100SSC7,24393000000.0,8321000000.0,Rule
S100L11G,14764844000.0,968453000.0,Rule
S100URVD,21672627000.0,1032831000.0,Rule
S100SSCN,150128000000.0,11573000000.0,Rule
S100P0JR,1742780000.0,-674161000.0,Rule
S100MYYS,2049746000.0,87236000.0,Rule
S100R2OI,191076000000.0,14318000000.0,Rule
S100L11Z,44311243000.0,5235052000.0,Rule
S100MYQQ,1461352000.0,305605000.0,Rule
S100SSAJ,,-387411000.0,Rule
S100P0KM,2657285000.0,433860000.0,Rule
S100URWA,53367000000.0,5214000000.0,Rule
S100SSDO,227339000000.0,23715000000.0,Rule
S100R2P3,77982192000.0,12524789000.0,Rule
S100R2OP,559240000000.0,66761000000.0,Rule
S100L13Q,174061000000.0,39464000000.0,Rule
S100N0OD,666460000000.0,104381000000.0,Rule
S100P0KQ,125556000000.0,30941000000.0,Rule
S100SSDX,414276000000.0,44487000000.0,Rule
S100R2PQ,662204000000.0,32935000000.0,Rule
S100MYJR,,,Rule
S100N0SL,9570000000.0,2536000000.0,Rule
S100P0LM,166455000000.0,9058000000.0,Rule
S100P0KZ,21549383000.0,1216152000.0,Rule
S100URWP,79332000000.0,17867000000.0,Rule
S100URWT,184533000000.0,23171000000.0,Rule
S100L16P,771046000000.0,248471000000.0,Rule
S100N14E,98690000000.0,9552000000.0,Rule
S100P0MJ,511911000.0,67050000.0,Rule
S100L13Y,890513000.0,-1333676000.0,Rule
S100SSE2,120224000000.0,10313000000.0,Rule
S100L1A0,8749191000.0,744582000.0,Rule
S100SSDZ,3260667000000.0,207599000000.0,Rule
S100N14I,732684000.0,-274208000.0,Rule
S100R2QA,58804000000.0,20142000000.0,Rule
S100URX7,99181000000.0,15556000000.0,Rule
S100R2TE,626181000000.0,33572000000.0,Rule
S100SSE4,404059000000.0,61439000000.0,Rule
S100URXN,32906000000.0,7476000000.0,Rule
S100R2TO,217709000000.0,40624000000.0,Rule
S100N1AT,1844812000000.0,168225000000.0,Rule
S100P0MU,1179742000.0,315180000.0,Rule
S100L1A8,138798000000.0,75782000000.0,Rule
S100MYQB,,,Rule
S100URXU,2143000000.0,-497000000.0,Rule
S100R2V6,94201000.0,-697769000.0,Rule
S100SSFV,335757000.0,19123000.0,Rule
S100L1B0,11677253000.0,6991323000.0,Rule
S100URYQ,167856000000.0,7576000000.0,Rule
S100URYN,283439000000.0,18258000000.0,Rule
S100N1IS,640183000.0,-1372370000.0,Rule
S100P0NS,4200329000.0,62006000.0,Rule
S100SSG0,163797000000.0,19691000000.0,Rule
S100R2YA,343267000000.0,44331000000.0,Rule
S100R2X3,17865650000.0,1599789000.0,Rule
S100L1BN,2027762000000.0,159075000000.0,Rule
S100P0OS,1021482000.0,141419000.0,Rule
S100N1OD,2930849000.0,113533000.0,Rule
S100L1BS,691683000000.0,65377000000.0,Rule
S100URZ4,2596006000.0,671022000.0,Rule
S100N1OU,565668000.0,-244989000.0,Rule
S100P0OU,2883207000.0,73989000.0,Rule
S100L1DU,313003000000.0,10286000000.0,Rule
S100R2ZK,651965000000.0,12528000000.0,Rule
S100SSG6,5001901000000.0,264075000000.0,Rule
S100URZZ,139082000000.0,17791000000.0,Rule
S100SSG7,7218154000000.0,642107000000.0,Rule
S100N1SH,3934434000.0,424303000.0,Rule
S100P0QA,31536000000.0,3267000000.0,Rule
S100L1DV,836323000000.0,56309000000.0,Rule
S100R2ZO,13136194000000.0,1149363000000.0,Rule
S100SSGF,1873707000000.0,138239000000.0,Rule
S100N1SZ,10282024000.0,1401964000.0,Rule
S100P0MW,,1235090000000.0,Rule
S100P0QE,46803000000.0,4640000000.0,Rule
S100US0G,7893000.0,-398694000.0,Rule
S100SSEJ,,295912000000.0,Rule
S100L1F6,354314000.0,-269035000.0,Rule
S100R2ZU,1324962000000.0,91221000000.0,Rule
S100N1ER,,-489861000.0,Rule
